year,games,score,team
2016,G1,104,Warriors
2016,G2,77,Cavaliers
2016,G2,110,Warriors
2016,G3,90,Warriors
2016,G3,120,Cavaliers
2016,G4,108,Warriors
2016,G4,97,Cavaliers
2016,G5,112,Cavaliers
2016,G5,97,Warriors
2016,G6,101,Warriors
2016,G6,115,Cavaliers
2016,G7,93,Cavaliers
2016,G7,89,Warriors
2017,G1,91,Cavaliers
2017,G1,113,Warriors
2017,G2,113,Cavaliers
2017,G2,132,Warriors
2017,G3,118,Warriors
2017,G3,113,Cavaliers
2017,G4,116,Warriors
2017,G4,137,Cavaliers
2017,G5,120,Cavaliers
2017,G5,129,Warriors
2018,G1,114,Cavaliers
2018,G1,124,Warriors
2018,G2,103,Cavaliers
2018,G2,122,Warriors
2018,G3,110,Warriors
2018,G3,102,Cavaliers
2018,G4,108,Warriors
2018,G4,85,Cavaliers
2019,G1,109,Warriors
2019,G1,118,Raptors
2019,G2,109,Warriors
2019,G2,104,Raptors
2019,G3,123,Raptors
2019,G3,109,Warriors
2019,G4,105,Raptors
2019,G4,92,Warriors
2019,G5,106,Warriors
2019,G5,105,Raptors
2019,G6,114,Raptors
2019,G6,110,Warriors
2020,G1,98,Heat
2020,G1,116,Lakers
2020,G2,114,Heat
2020,G2,124,Lakers
2020,G3,104,Lakers
2020,G3,115,Heat
2020,G4,102,Lakers
2020,G4,96,Heat
2020,G5,111,Heat
2020,G5,108,Lakers
2020,G6,106,Lakers
2020,G6,93,Heat
2021,G1,105,Bucks
2021,G1,118,Suns
2021,G2,108,Bucks
2021,G2,118,Suns
2021,G3,100,Suns
2021,G3,120,Bucks
2021,G4,103,Suns
2021,G4,109,Bucks
2021,G5,123,Bucks
2021,G5,119,Suns
2021,G6,98,Suns
2021,G6,105,Bucks
